"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 09:16:29 GMT 2024","Wed Sep 04 09:16:30 GMT 2024","958","chromium","","","","","get started link",""
"passed","Wed Sep 04 09:16:29 GMT 2024","Wed Sep 04 09:16:29 GMT 2024","645","chromium","","","","","has title",""
"passed","Wed Sep 04 09:16:16 GMT 2024","Wed Sep 04 09:16:22 GMT 2024","5894","setup","","","","","Dependencies setup",""
"passed","Wed Sep 04 09:16:31 GMT 2024","Wed Sep 04 09:16:34 GMT 2024","3422","teardown","","","","","Clean up",""
"passed","Wed Sep 04 09:16:28 GMT 2024","Wed Sep 04 09:16:29 GMT 2024","346","chromium","","","","","@demo_fixture Test case 2",""
"passed","Wed Sep 04 09:16:23 GMT 2024","Wed Sep 04 09:16:28 GMT 2024","5202","chromium","","","","","@demo_fixture authentication test",""
